route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
16,subota,Linija_16_Smer_B_subota_T07,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T08,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T09,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T10,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T11,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T12,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T13,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T14,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T15,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T16,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T17,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T18,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T19,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T20,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T21,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T22,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T23,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T24,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T25,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T26,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T27,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T28,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T29,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T30,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T31,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T32,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T33,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,subota,Linija_16_Smer_B_subota_T34,Teslino Naselje,1,,Linija_16_Smer_B,0,
16,nedelja_i_praznici,Linija_16_Smer_A_nedelja_i_praznici_T01,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,nedelja_i_praznici,Linija_16_Smer_A_nedelja_i_praznici_T02,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,nedelja_i_praznici,Linija_16_Smer_A_nedelja_i_praznici_T03,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,nedelja_i_praznici,Linija_16_Smer_A_nedelja_i_praznici_T04,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,nedelja_i_praznici,Linija_16_Smer_A_nedelja_i_praznici_T05,Aleksandrovo,0,,Linija_16_Smer_A,0,
16,nedelja_i_praznici,Linija_16_Smer_A_nedelja_i_praznici_T06,Aleksandrovo,0,,Linija_16_Smer_A,0,
